Code,Paper Name,Credits
ML469T,Machine Learning and Data Analytics Frameworks,3
ML469P,Machine Learning and Data Analytics Frameworks Lab,1
SE350T,"Software Measurements, Metrics and Modelling",3
SE350P,"Software Measurements, Metrics and Modelling Lab",1
SE352T,Service Oriented Architecture,3
SE352P,Service Oriented Architecture Lab,1
SE354T,Software Project Management,3
SE354P,Software Project Management Lab,1
SE483T,Mining Software Repositories and Predictive Modelling,3
SE483P,Mining Software Repositories and Predictive Modelling Lab,1
SE485,Software Security,4
SE487T,"Software Verification, Validation and Testing",3
SE487P,"Software Verification, Validation and Testing Lab",1
SE489,Software Engineering Standards,4
FSD318T,Advanced Java Programming,3
FSD318P,Advanced Java Programming Lab,1
FSD320T,Web Development using MEAN Stack,3
FSD320P,Web Development using MEAN Stack Lab,1
FSD322T,Web Development using MERN Stack,3
FSD322P,Web Development using MERN Stack Lab,1
FSD435T,PHP Programming and MySQL,3
FSD435P,PHP Programming and MySQL Lab,1
FSD437T,Mobile App Development,3
FSD437P,Mobile App Development Lab,1
FSD439T,Web and Mobile Application Testing and Deployment,3
FSD439P,Web and Mobile Application Testing and Deployment Lab,1
IPCV334T,Digital Image Processing,3
IPCV334P,Digital Image Processing Lab,1
IPCV356T,Digital Signal and Image Processing,3
IPCV356P,Digital Signal and Image Processing Lab,1
IPCV336T,Pattern Recognition,3
IPCV336P,Pattern Recognition Lab,1
IPCV451T,Computer Vision,3
IPCV451P,Computer Vision Lab,1
IPCV453T,Biometrics,3
IPCV453P,Biometrics Lab,1
IPCV455T,"Medical Image Processing, Analysis and Reconstruction",3
IPCV455P,"Medical Image Processing, Analysis and Reconstruction Lab",1
IPCV457T,Remote Sensing Image Analysis and Classification,3
IPCV457P,Remote Sensing Image Analysis and Classification Lab,1
IPCV459T,Deep Learning for Image Processing and Computer Vision,3
IPCV459P,Deep Learning for Image Processing and Computer Vision Lab,1
IPCV461T,Machine Learning for Image and Vision Analysis,3
IPCV461P,Machine Learning for Image and Vision Analysis Lab,1
RA324T,Robot Kinematics and Dynamics,3
RA324P,Robot Kinematics and Dynamics Lab,1
RA437T,Robot Actuation Systems,3
RA437P,Robot Actuation Systems Lab,1
RA439T,Control Hardware and Interfacing,3
RA439P,Control Hardware and Interfacing Lab,1
RA441T,AI in Robotics,3
RA441P,AI in Robotics Lab,1
ES302T,Microprocessors and Interfacing,3
ES302P,Microprocessors and Interfacing Lab,1
ES308T,Introduction to Data Communication and Networking,3
ES308P,Introduction to Data Communication and Networking Lab,1
ES310T,Advanced Microprocessors (ARM) & Interfacing,3
ES310P,Advanced Microprocessors (ARM) & Interfacing Lab,1
ES304,Real Time Operating Systems,4
ES306T,Embedded System Architecture and Design,3
ES306P,Embedded System Architecture and Design Lab,1
ES401T,Programming in C for Embedded Systems,3
ES401P,Programming in C for Embedded Systems Lab,1
ES403T,VHDL Programming,3
ES403P,VHDL Programming Lab,1
ES405T,Real Time Embedded System Programming,3
ES405P,Real Time Embedded System Programming Lab,1
ES407T,Embedded Linux,3
ES407P,Embedded Linux Lab,1
IOT409T,Introduction to Sensors and Transducers,3
IOT409P,Introduction to Sensors and Transducers Lab,1
ES411T,Logic Design and Analysis using Verilog,3
ES411P,Logic Design and Analysis using Verilog Lab,1
VLSI328T,Semiconductor Devices and Modelling,3
VLSI328P,Semiconductor Devices and Modelling Lab,1
VLSI330T,VLSI,3
VLSI330P,VLSI Lab,1
VLSI443T,CMOS Analog Integrated Circuit Design,3
VLSI443P,CMOS Analog Integrated Circuit Design Lab,1
VLSI445T,CMOS Digital Circuits Design,3
VLSI445P,CMOS Digital Circuits Design Lab,1
VLSI447,CMOS Mixed Signal Circuit Design,4
VLSI449T,Low Power VLSI Design,3
VLSI449P,Low Power VLSI Design Lab,1
VLSI451,VLSI Testing,4
MT312T,Energy Storage Systems in Microgrids,3
MT312P,Energy Storage Systems in Microgrids Lab,1
MT314T,Modeling and Analysis of Microgrids,3
